









Frequency of observations in the selected location(s).:
Number of taxa: 	1011

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Snow x Canada Goose (hybrid)	0.0	1.064E-4	2.455E-4	1.193E-4	1.109E-4	6.92E-5	3.34E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84E-5	1.184E-4	8.39E-5	3.652E-4	1.068E-4	2.2E-5	
Ross's x Canada Goose (hybrid)	0.0	2.66E-5	0.0	0.0	2.77E-5	2.31E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96E-5	0.0	0.0	0.0	0.0	
Cackling/Canada Goose	0.0022247	0.0025259	0.0027747	0.0025056	0.0023837	0.0023975	0.0012174	0.0010879	0.0011255	7.569E-4	6.566E-4	3.833E-4	3.265E-4	4.024E-4	2.332E-4	1.897E-4	1.879E-4	1.837E-4	2.893E-4	2.078E-4	3.178E-4	1.58E-4	1.182E-4	2.42E-4	4.229E-4	2.55E-4	2.649E-4	3.622E-4	2.457E-4	3.024E-4	1.744E-4	2.24E-4	4.446E-4	3.079E-4	2.984E-4	4.198E-4	2.925E-4	3.917E-4	5.738E-4	6.957E-4	0.0011864	0.0021332	0.0031092	0.0035524	0.0034413	0.004098	0.0030613	0.0024206	
Snow/Ross's x Cackling/Canada Goose (hybrid)	0.0	0.0	2.46E-5	3.98E-5	2.77E-5	0.0	1.67E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06E-5	7.12E-5	4.4E-5	
Branta sp.	0.0	7.98E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	7.069E-4	8.774E-4	4.42E-4	7.557E-4	7.761E-4	5.302E-4	9.839E-4	5.307E-4	4.04E-4	4.055E-4	4.041E-4	2.5E-4	1.741E-4	3.292E-4	1.244E-4	1.897E-4	1.691E-4	1.378E-4	1.085E-4	2.078E-4	1.059E-4	1.58E-4	1.182E-4	4.84E-5	1.812E-4	0.0	0.0	2.263E-4	6.14E-5	6.05E-5	5.81E-5	1.867E-4	1.482E-4	0.0	3.481E-4	2.29E-4	2.438E-4	1.469E-4	6.216E-4	7.305E-4	6.471E-4	0.0012282	0.0010364	0.001421	9.233E-4	7.709E-4	9.611E-4	0.0010562	
Mute Swan	0.0018296	0.0019409	0.0018416	0.0025852	0.0020233	0.0014523	0.0015843	0.0025473	0.0022222	0.0018922	0.001591	0.0017999	0.0016978	0.0012437	0.0011506	8.538E-4	7.516E-4	8.498E-4	8.68E-4	0.0015733	0.0024367	0.0014745	0.0012414	8.712E-4	8.458E-4	0.0011474	0.0012581	0.0011317	6.758E-4	7.257E-4	0.001395	0.0011572	0.0011855	0.0011288	8.951E-4	0.0015648	0.0017064	0.0020076	0.001817	0.0018785	0.0011504	0.0015837	0.0024566	0.0019834	0.0020984	0.0025968	0.0019578	0.0018704	
Black Swan	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	4.16E-5	7.98E-5	4.91E-5	1.99E-5	0.0	2.31E-5	1.001E-4	5.31E-5	2.309E-4	8.11E-5	5.05E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84E-5	0.0	4.2E-5	0.0021099	6.407E-4	6.6E-5	
Tundra Swan	6.445E-4	6.381E-4	6.63E-4	6.761E-4	8.32E-5	3.227E-4	2.168E-4	2.653E-4	1.154E-4	2.433E-4	0.0	1.67E-5	0.0	1.83E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	6.46E-5	0.0	1.184E-4	0.0010912	0.0016636	9.967E-4	8.802E-4	
