Row #,Species,Count,Location,S/P,Date,LocID,SubID
220,Olive Sparrow,4,Laguna Atascosa NWR--HQ and Kiskadee Trail,US-TX,30 Jan 2020,L288849,S63954875
221,Chipping Sparrow,6,Granger Lake--Comanche Bluff Trail,US-TX,23 Feb 2020,L1655895,S64918911
222,Fox Sparrow,1,Skyline Wilderness Park,US-CA,06 Feb 2020,L631746,S64211239
223,Dark-eyed Junco,32,Skyline Wilderness Park,US-CA,06 Feb 2020,L631746,S64211239
224,White-crowned Sparrow,2,Westwood Hills Park,US-CA,07 Feb 2020,L3056282,S64206187
225,Golden-crowned Sparrow,2,Skyline Wilderness Park,US-CA,06 Feb 2020,L631746,S64211239
226,Harris's Sparrow,6,Granger Lake--Comanche Bluff Trail,US-TX,23 Feb 2020,L1655895,S64918911
227,White-throated Sparrow,1,Webberville Park (Big)(HOTE 035),US-TX,22 Feb 2020,L1119372,S64885162
228,Vesper Sparrow,15,"41128 General Brant Road, Los Fresnos, Texas, US (26.192, -97.362)",US-TX,30 Jan 2020,L10652766,S63954752
229,Savannah Sparrow,1,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),US-TX,29 Jan 2020,L283726,S63954736
230,Song Sparrow,2,Skyline Wilderness Park,US-CA,06 Feb 2020,L631746,S64211239
231,Lincoln's Sparrow,1,Estero Llano Grande SP WBC (LTC 054),US-TX,01 Feb 2020,L259855,S64013058
232,California Towhee,4,Westwood Hills Park,US-CA,07 Feb 2020,L3056282,S64206187
233,Spotted Towhee,4,Skyline Wilderness Park,US-CA,06 Feb 2020,L631746,S64211239
234,Eastern Towhee,1,Big Branch Marsh NWR--Boy Scout Rd.,US-LA,21 Mar 2020,L799384,S67542787
235,Western Meadowlark,80,Newell Open Space,US-CA,08 Feb 2020,L2963042,S64246465
236,Eastern Meadowlark,12,Webberville Park (Big)(HOTE 035),US-TX,22 Feb 2020,L1119372,S64873546
237,Altamira Oriole,1,Laguna Atascosa NWR--HQ and Kiskadee Trail,US-TX,30 Jan 2020,L288849,S63954875
238,Red-winged Blackbird,100,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),US-TX,29 Jan 2020,L283726,S63954736
